subject,session,condition,event_row,onset,stimulus_code,label,subjective_rating_0_10,trial_id,rejection_reason,max_peak_to_peak_uV
sub-001,ses-1,SIT,0,10.224,64,1,,sub-001_ses-1_event-000,kept,53.7367395602
sub-001,ses-1,SIT,1,30.291,64,1,,sub-001_ses-1_event-001,kept,128.4896780494
sub-001,ses-1,SIT,2,52.425,32,0,,sub-001_ses-1_event-002,kept,33.7186245288
sub-001,ses-1,SIT,3,72.559,64,1,,sub-001_ses-1_event-003,kept,38.4453127048
sub-001,ses-1,SIT,4,91.192,32,0,,sub-001_ses-1_event-004,kept,33.8358153202
sub-001,ses-1,SIT,5,113.276,32,0,,sub-001_ses-1_event-005,kept,28.3574090514
sub-001,ses-1,SIT,6,135.377,32,0,,sub-001_ses-1_event-006,kept,28.7976139597
sub-001,ses-1,SIT,7,157.461,32,0,,sub-001_ses-1_event-007,kept,38.2102860992
sub-001,ses-1,SIT,8,179.545,32,0,,sub-001_ses-1_event-008,kept,35.3261516782
sub-001,ses-1,SIT,9,201.679,64,1,,sub-001_ses-1_event-009,kept,24.3318584742
sub-001,ses-1,SIT,10,219.996,32,0,,sub-001_ses-1_event-010,kept,28.6298491727
sub-001,ses-1,SIT,11,240.33,64,1,,sub-001_ses-1_event-011,kept,63.8822405312
sub-001,ses-1,SIT,12,260.447,32,0,,sub-001_ses-1_event-012,kept,30.9469119172
sub-001,ses-1,SIT,13,281.564,64,1,,sub-001_ses-1_event-013,kept,89.0548585577
sub-001,ses-1,SIT,14,301.698,64,1,,sub-001_ses-1_event-014,kept,30.8819201149
sub-001,ses-1,SIT,15,322.832,64,1,,sub-001_ses-1_event-015,kept,43.3608289585
sub-001,ses-1,SIT,16,344.932,32,0,,sub-001_ses-1_event-016,kept,30.7270922626
sub-001,ses-1,SIT,17,365.033,64,1,,sub-001_ses-1_event-017,kept,56.5020469507
sub-001,ses-1,SIT,18,385.133,64,1,,sub-001_ses-1_event-018,kept,32.7740696472
sub-001,ses-1,SIT,19,407.217,64,1,,sub-001_ses-1_event-019,kept,45.6232309314
sub-001,ses-1,SIT,20,427.301,64,1,,sub-001_ses-1_event-020,kept,51.342491417
sub-001,ses-1,SIT,21,447.368,64,1,,sub-001_ses-1_event-021,kept,46.1709988867
sub-001,ses-1,SIT,22,467.469,32,0,,sub-001_ses-1_event-022,kept,38.4349126693
sub-001,ses-1,SIT,23,488.569,64,1,,sub-001_ses-1_event-023,kept,47.852906046
sub-001,ses-1,SIT,24,508.653,64,1,,sub-001_ses-1_event-024,kept,54.7657569729
sub-001,ses-1,SIT,25,529.737,32,0,,sub-001_ses-1_event-025,kept,43.7381170984
sub-001,ses-1,SIT,26,550.854,32,0,,sub-001_ses-1_event-026,kept,41.623235803
sub-001,ses-1,SIT,27,571.971,32,0,,sub-001_ses-1_event-027,kept,43.6340243922
sub-001,ses-1,SIT,28,592.105,32,0,,sub-001_ses-1_event-028,kept,34.5093342026
sub-001,ses-1,SIT,29,613.222,32,0,,sub-001_ses-1_event-029,kept,35.202974011
sub-001,ses-1,SIT,30,633.356,64,1,,sub-001_ses-1_event-030,kept,31.0418130483
sub-001,ses-1,SIT,31,653.473,64,1,,sub-001_ses-1_event-031,kept,45.5064615521
sub-001,ses-1,SIT,32,673.557,32,0,,sub-001_ses-1_event-032,kept,37.8012726229
sub-001,ses-1,SIT,33,693.624,64,1,,sub-001_ses-1_event-033,kept,40.3275317444
sub-001,ses-1,SIT,34,713.742,64,1,,sub-001_ses-1_event-034,kept,31.4564717802
sub-001,ses-1,SIT,35,734.825,32,0,,sub-001_ses-1_event-035,kept,41.2031677875
sub-001,ses-1,SIT,36,754.959,64,1,,sub-001_ses-1_event-036,kept,75.8008365369
sub-001,ses-1,SIT,37,777.109,32,0,,sub-001_ses-1_event-037,kept,40.9752897669
sub-001,ses-1,SIT,38,798.21,32,0,,sub-001_ses-1_event-038,kept,36.1616316048
sub-001,ses-1,SIT,39,818.294,32,0,,sub-001_ses-1_event-039,kept,38.8175843127
sub-002,ses-1,SIT,0,11.335,64,1,,sub-002_ses-1_event-000,kept,19.1423721188
sub-002,ses-1,SIT,1,31.419,64,1,,sub-002_ses-1_event-001,kept,16.4710820397
sub-002,ses-1,SIT,2,53.519,32,0,,sub-002_ses-1_event-002,kept,20.5620882335
sub-002,ses-1,SIT,3,73.603,64,1,,sub-002_ses-1_event-003,kept,23.4622917111
sub-002,ses-1,SIT,4,93.687,32,0,,sub-002_ses-1_event-004,kept,20.6185974482
sub-002,ses-1,SIT,5,115.771,32,0,,sub-002_ses-1_event-005,kept,17.6823205309
sub-002,ses-1,SIT,6,137.888,32,0,,sub-002_ses-1_event-006,kept,22.1462479513
sub-002,ses-1,SIT,7,159.972,32,0,,sub-002_ses-1_event-007,kept,23.5306515185
sub-002,ses-1,SIT,8,182.072,32,0,,sub-002_ses-1_event-008,kept,26.4628306764
sub-002,ses-1,SIT,9,204.14,64,1,,sub-002_ses-1_event-009,kept,23.8881179704
sub-002,ses-1,SIT,10,224.224,32,0,,sub-002_ses-1_event-010,kept,18.6196620852
sub-002,ses-1,SIT,11,246.291,64,1,,sub-002_ses-1_event-011,kept,18.5179544588
sub-002,ses-1,SIT,12,266.408,32,0,,sub-002_ses-1_event-012,kept,20.4926636975
sub-002,ses-1,SIT,13,287.476,64,1,,sub-002_ses-1_event-013,kept,22.170416161
sub-002,ses-1,SIT,14,307.559,64,1,,sub-002_ses-1_event-014,kept,22.8604169277
sub-002,ses-1,SIT,15,328.659,64,1,,sub-002_ses-1_event-015,kept,25.1110851371
sub-002,ses-1,SIT,16,350.743,32,0,,sub-002_ses-1_event-016,kept,22.9202683348
sub-002,ses-1,SIT,17,370.194,64,1,,sub-002_ses-1_event-017,kept,22.6736924361
sub-002,ses-1,SIT,18,390.294,64,1,,sub-002_ses-1_event-018,kept,21.1639003064
sub-002,ses-1,SIT,19,412.378,64,1,,sub-002_ses-1_event-019,kept,27.162718675
sub-002,ses-1,SIT,20,432.462,64,1,,sub-002_ses-1_event-020,kept,20.6482277145
sub-002,ses-1,SIT,21,452.529,64,1,,sub-002_ses-1_event-021,kept,32.6085727944
sub-002,ses-1,SIT,22,472.646,32,0,,sub-002_ses-1_event-022,kept,22.6805752429
sub-002,ses-1,SIT,23,493.713,64,1,,sub-002_ses-1_event-023,kept,21.6617984474
sub-002,ses-1,SIT,24,513.797,64,1,,sub-002_ses-1_event-024,kept,25.5209745451
sub-002,ses-1,SIT,25,534.864,32,0,,sub-002_ses-1_event-025,kept,21.8056837699
sub-002,ses-1,SIT,26,555.965,32,0,,sub-002_ses-1_event-026,kept,17.988438825
sub-002,ses-1,SIT,27,577.049,32,0,,sub-002_ses-1_event-027,kept,25.4029784708
